CharacterName,Class,Lev,StageIdx,PositionX,PositionY
player520,2,7,101003010,-3745.48,17279.3
player521,5,11,101003010,-2854.94,16328.3
player522,2,5,100002020,1069.7,6043.38
player523,3,30,101001010,1752,-4008.76
player524,1,2,100002010,-12532.4,-12802.9
player525,1,1,100004020,821.37,-75.4137
player526,1,6,101003010,10876.4,17263.4
player527,3,5,100002020,-1389.74,-11057.7
player528,5,17,101001010,2476.77,-5067.73
player529,2,7,101003010,3854.22,11496.7
player530,2,1,100004010,10026.9,17621.1
player531,2,1,100004010,15802.3,12228.7
player532,3,1,100004010,17188.6,13274.8
player533,3,6,101003010,-1002.58,20024.1
player534,2,5,100002020,1593.54,4741.55
player535,3,100,101004010,19934.5,-8790.05
player536,3,30,101001010,1981.38,-4507.1
player537,1,1,100004010,20540,11696.8
player538,2,1,100004010,9696.76,17836.2
player539,3,7,101003010,269.696,19511.5
player540,2,4,100002010,1794.57,-633.712
player541,2,3,100002010,-362.239,-2407.37
player542,4,1,100004010,10034.7,17607.5
player543,3,1,100004010,4953.68,16582
player544,5,1,100004010,10257.9,18421.6
player545,3,20,101003030,-16284.9,-7885.02
player546,2,1,100004010,3696.51,15582
player547,3,1,100004010,10024.3,17624.7
player548,1,1,100004010,1297.82,17799.2
player549,3,1,100004010,493.98,17488.3
player550,1,1,100004010,4841,17174
player551,2,1,100004010,4841,17174
player552,3,1,100004010,4841,17174
player553,1,1,100004010,4841,17174
player554,2,1,100004010,4841,17174
player555,3,1,100004010,4841,17174
player556,1,1,100004010,5099.7,17265.4
player557,2,1,100004010,4841,17174
player558,3,1,100004010,4841,17174
player559,3,1,100004010,1315.95,17580.1
player560,1,120,101003010,-3406.39,17768.5
player561,1,30,100002010,-2389.64,8736.95
player562,2,43,101003030,-16523.1,-12498.1
player563,2,1,100004010,4841,17174
player564,1,1,100004010,1381.11,17803.9
player565,3,20,101003030,-16284.9,-7885.02
player566,2,1,100004010,4841,17174
player567,2,1,100004010,1431.15,17815.9
player568,3,1,100004010,2373.87,17140.2
player569,2,120,101003030,-17225.8,-13918
player570,3,1,101003030,-16324.2,-8643
player571,1,20,101003030,-16481.5,-11363.2
player572,1,20,101003030,-16970.5,-12102.6
player573,2,1,100004010,4841,17174
player574,2,20,101003030,-17188.7,-12393
player575,3,20,101003030,-14682.8,-15867.7
player576,2,20,101003030,-16315.5,-11333.5
player577,3,1,100004010,1660.66,17669.2
player578,1,1,100004010,4841,17174
player579,3,1,100004010,4841,17174
player580,2,1,100004010,1814.73,17694.8
player581,1,1,101001010,1705,-887
player582,2,31,101001010,98.0906,-4029.43
player583,5,120,101003010,-1809.43,17715.6
player584,4,30,101001010,1788.32,-806.68
player585,3,31,101001010,-1671.81,-2698.53
player586,2,120,101003020,-2703.93,-3313.67
player587,3,100,101003030,9601.66,-42426.9
player588,1,120,101003030,-15635.6,-14104.8
player589,2,70,100004010,8985.76,18325.5
player590,1,5,100002012,-6985.45,4693.08
player591,3,100,900000003,671.64,-19288.5
player592,2,1,100004010,4841,17174
player593,2,25,101003030,-13372,-11971.3
player594,2,25,101003030,-15538.1,-15955.6
player595,2,1,101003010,-2736.38,16486.1
